,species,MaxObservLength,preferred_temp,b1_p025,b1_p10,b1_p50,b1_p90,b1_p975
1,Abudefduf bengalensis,20.00,25.72,-0.014,-0.008,0.003,0.013,0.019
2,Abudefduf sexfasciatus,20.00,24.70,-0.004,0.004,0.020,0.035,0.044
3,Abudefduf vaigiensis,20.00,25.16,-0.025,-0.018,-0.003,0.013,0.021
4,Abudefduf whitleyi,15.00,24.58,-0.054,-0.034,-0.001,0.028,0.046
5,Acanthaluteres brownii,35.00,18.87,-0.024,-0.008,0.021,0.051,0.067
6,Acanthaluteres spilomelanurus,20.00,16.56,-0.004,0.030,0.104,0.177,0.211
7,Acanthaluteres vittiger,40.00,17.29,-0.072,-0.060,-0.039,-0.021,-0.010
8,Acanthochromis polyacanthus,15.00,27.21,-0.036,-0.020,0.011,0.043,0.062
9,Acanthopagrus australis,40.00,20.53,-0.101,-0.084,-0.055,-0.024,-0.010
10,Acanthurus albipectoralis,35.00,23.82,0.088,0.108,0.144,0.181,0.202
11,Acanthurus blochii,40.00,27.29,-0.017,-0.008,0.012,0.031,0.042
12,Acanthurus dussumieri,50.00,24.66,0.068,0.084,0.112,0.138,0.153
13,Acanthurus grammoptilus,40.00,27.09,-0.018,-0.010,0.005,0.019,0.027
14,Acanthurus lineatus,40.00,27.68,-0.058,-0.041,-0.007,0.025,0.045
15,Acanthurus nigricans,30.00,27.44,-0.059,-0.043,-0.020,0.004,0.016
16,Acanthurus nigricauda,40.00,28.23,-0.136,-0.115,-0.075,-0.036,-0.016
17,Acanthurus nigrofuscus,30.00,25.91,0.012,0.019,0.033,0.047,0.055
18,Acanthurus nigroris,15.00,26.85,-0.094,-0.072,-0.032,0.003,0.026
19,Acanthurus olivaceus,32.50,24.73,0.062,0.076,0.106,0.138,0.156
20,Acanthurus pyroferus,25.00,27.83,-0.030,-0.014,0.018,0.052,0.070
21,Acanthurus triostegus,25.00,26.85,-0.030,-0.017,0.004,0.026,0.038
22,Achoerodus gouldii,125.00,18.18,0.037,0.052,0.082,0.109,0.124
23,Achoerodus viridis,131.25,19.39,0.026,0.039,0.066,0.091,0.108
24,Amblyglyphidodon curacao,12.50,27.70,-0.139,-0.122,-0.091,-0.061,-0.043
25,Amblyglyphidodon leucogaster,15.00,28.46,-0.102,-0.073,-0.018,0.036,0.071
26,Amblygobius phalaena,15.00,25.41,-0.045,-0.029,-0.001,0.026,0.038
27,Amphiprion akindynos,12.50,24.62,-0.037,-0.017,0.023,0.067,0.096
28,Anampses elegans,25.00,21.54,-0.245,-0.194,-0.092,0.022,0.104
29,Anampses geographicus,30.00,23.55,-0.035,-0.028,-0.014,0.001,0.009
30,Anampses neoguinaicus,20.00,24.29,-0.001,0.006,0.022,0.039,0.047
31,Aplodactylus arctidens,75.00,15.96,-0.061,-0.052,-0.034,-0.018,-0.007
32,Aplodactylus lophodon,50.00,18.69,-0.062,-0.056,-0.047,-0.037,-0.033
33,Apogon doederleini,12.50,23.68,-0.082,-0.059,-0.019,0.023,0.047
34,Apogon limenus,20.00,21.07,0.005,0.025,0.060,0.103,0.123
35,Apogon victoriae,15.00,20.61,-0.093,-0.071,-0.030,0.007,0.027
36,Aracana aurita,20.00,17.04,0.012,0.024,0.052,0.081,0.093
37,Arripis georgianus,30.00,18.81,0.005,0.014,0.036,0.058,0.072
38,Arripis trutta,50.00,18.15,-0.004,0.017,0.060,0.094,0.112
39,Atypichthys strigatus,25.00,18.92,0.035,0.041,0.054,0.066,0.072
40,Austrolabrus maculatus,25.00,19.19,-0.050,-0.044,-0.031,-0.018,-0.011
