,species,Location,MaxLength,Temp_midp,b1_p025,b1_p10,b1_p50,b1_p90,b1_p975
1,Acanthaluteres spilomelanurus,Port Phillip Bay,14,16.5555,-0.087661871,-0.073136057,-0.024273913,0.028779514,0.066140525
2,Acanthaluteres vittiger,Bass Strait,35,17.2935,-0.014278814,-0.006587075,0.004053124,0.014534157,0.019860092
3,Acanthaluteres vittiger,Bicheno,35,17.2935,-0.023958206,-0.019035328,-0.007557907,0.002888339,0.008612583
4,Acanthaluteres vittiger,Jervis Bay,35,17.2935,-0.015864045,-0.008391957,0.005901352,0.019290223,0.026235916
5,Acanthaluteres vittiger,Maria Island,35,17.2935,-0.011468063,-0.007857849,-0.000253948,0.007820765,0.01264723
6,Acanthaluteres vittiger,Port Phillip Bay,35,17.2935,-0.059931943,-0.052133606,-0.037812687,-0.023768954,-0.017792832
7,Acanthaluteres vittiger,Tinderbox,35,17.2935,-0.028348114,-0.021728116,-0.010753736,-0.000417237,0.006149906
8,Acanthopagrus australis,Jervis Bay,66,20.5335,-0.01982694,-0.015863426,-0.008644254,-0.001303354,0.002803905
9,Achoerodus viridis,Jervis Bay,100,19.389,-0.005865472,-0.001354599,0.006105507,0.0135786,0.01761575
10,Anampses geographicus,Jurien Bay,31,23.5525,-0.037350965,-0.024102657,-0.001062128,0.021968394,0.036728118
11,Aplodactylus arctidens,Bass Strait,65,15.962,-0.007926624,-0.004417049,0.000591077,0.005214004,0.00789896
12,Aplodactylus lophodon,Jervis Bay,45,18.6945,-0.005890406,-0.002594651,0.003694529,0.008817387,0.011956375
13,Apogon limenus,Jervis Bay,14,21.0665,-0.019968086,-0.012425034,-1.08E-05,0.014346544,0.022994922
14,Apogon victoriae,Jurien Bay,14,20.6066,-0.016280879,-0.011015885,-0.001234979,0.008773468,0.015796836
15,Atypichthys strigatus,Bass Strait,25,18.92,0.005081834,0.009408835,0.019950074,0.029734371,0.036751258
16,Atypichthys strigatus,Jervis Bay,25,18.92,0.005509141,0.009634765,0.017355965,0.025442835,0.029730647
17,Atypichthys strigatus,Maria Island,25,18.92,0.017178841,0.021701704,0.031061704,0.039998967,0.044878197
18,Austrolabrus maculatus,Jervis Bay,17,19.1905,-0.0091658,-0.005391934,0.001565203,0.009276303,0.013989571
19,Austrolabrus maculatus,Jurien Bay,17,19.1905,-0.006832044,-0.003582477,0.002055793,0.007954045,0.012133965
20,Bodianus frenchii,Jurien Bay,49,19.9475,0.001320453,0.009420433,0.021512777,0.033571188,0.04092401
21,Caesioperca lepidoptera,Bass Strait,30,16.30125,-0.018098874,-0.013029246,-0.004547799,0.003435897,0.008292053
22,Caesioperca lepidoptera,Maria Island,30,16.30125,-0.013173233,-0.008136041,-0.000268454,0.008517922,0.01421099
23,Caesioperca rasor,Bass Strait,26,15.6675,-0.00527005,-0.002978584,0.001484769,0.005899967,0.008520541
24,Caesioperca rasor,Maria Island,26,15.6675,0.003165679,0.005310684,0.009239374,0.013108013,0.015479555
25,Caesioperca rasor,Ninepin,26,15.6675,-0.001269295,0.000797457,0.005045026,0.009402165,0.01154236
26,Caesioperca rasor,Port Phillip Bay,26,15.6675,-0.016853885,-0.009562491,0.001721206,0.013691789,0.020257298
27,Cheilodactylus fuscus,Jervis Bay,65,19.782,-0.011862241,-0.00911049,-0.004237006,0.000842227,0.003909643
28,Cheilodactylus nigripes,Bass Strait,41,16.6005,-0.011710309,-0.009480412,-0.005298762,-0.001708504,0.000236936
29,Cheilodactylus nigripes,Port Phillip Bay,41,16.6005,-0.015265019,-0.013085433,-0.00897972,-0.003972451,-0.000742037
30,Cheilodactylus rubrolabiatus,Jurien Bay,75,19.729,-0.00986959,-0.002772698,0.00813714,0.019962106,0.031204393
31,Cheilodactylus spectabilis,Bass Strait,100,16.593,-0.002518987,0.000162545,0.005889808,0.01127885,0.014209321
32,Cheilodactylus spectabilis,Bicheno,100,16.593,-0.008409948,-0.006011885,-0.001652263,0.002772607,0.005535681
33,Cheilodactylus spectabilis,Maria Island,100,16.593,-0.010163045,-0.007963726,-0.003597258,0.00055238,0.002822998
34,Chelmonops curiosus,Jurien Bay,26,19.084,-0.010509791,-0.007956388,-0.002329154,0.003355733,0.006572748
35,Chelmonops truncatus,Jervis Bay,22,19.7235,-0.009535695,-0.007460604,-0.003505519,0.000599198,0.003101073
36,Choerodon rubescens,Jurien Bay,90,22.4225,-0.017481873,-0.002665406,0.017299609,0.038851701,0.052570069
37,Chromis hypsilepis,Bass Strait,16,20.131575,0.008901604,0.014449722,0.024139601,0.034401692,0.039429976
38,Chromis hypsilepis,Jervis Bay,16,20.131575,0.006412687,0.011675506,0.021699548,0.030872301,0.036045949
39,Chromis westaustralis,Jurien Bay,8.5,21.172,-0.045086876,-0.031579337,-0.005667565,0.01837298,0.037677854
40,Chrysophrys auratus,Jervis Bay,130,NA,-0.020889636,-0.011943019,0.003708064,0.018155088,0.027614135
41,Coris auricularis,Jurien Bay,40,19.963,-0.010325253,-0.0050845,0.004132418,0.01345882,0.01988514
42,Coris picta,Jervis Bay,25,20.6725,-0.028034767,-0.019257946,-0.007436543,0.005760649,0.015112772
43,Dinolestes lewini,Bass Strait,90,17.3055,-0.008655962,-0.002176636,0.008504724,0.019485752,0.025239393
44,Dinolestes lewini,Bicheno,90,17.3055,-0.011216344,-0.006087285,0.002518974,0.011994964,0.017137432
45,Dinolestes lewini,Jervis Bay,90,17.3055,-0.017112704,-0.012758909,-0.003397956,0.005096292,0.008743505
46,Dinolestes lewini,Maria Island,90,17.3055,-0.006656874,-0.002921858,0.005586757,0.013312123,0.017558479
47,Dinolestes lewini,Ninepin,90,17.3055,-0.002134181,0.003060197,0.013113342,0.023188579,0.027685181
48,Dinolestes lewini,Port Davey,90,17.3055,-0.079462984,-0.069465982,-0.050338868,-0.032051226,-0.021116765
49,Dinolestes lewini,Tinderbox,90,17.3055,-0.025654044,-0.018353179,-0.006272565,0.005358476,0.012498554
50,Diodon nicthemerus,Maria Island,40,16.8205,-0.006098707,0.00483562,0.021898055,0.037089189,0.043920754
51,Diodon nicthemerus,Port Phillip Bay,40,16.8205,-0.00737298,-0.004178426,0.002969499,0.009832322,0.013404034
52,Dotalabrus aurantiacus,Maria Island,15,15.845725,-0.019049056,-0.016733102,-0.012112027,-0.007452288,-0.005139107
53,Dotalabrus aurantiacus,Tinderbox,15,15.845725,-0.023932793,-0.020239452,-0.01276681,-0.005593752,-0.001927616
54,Enoplosus armatus,Bass Strait,50,18.3255,-0.013919779,-0.01027555,-0.005321445,4.79E-05,0.002463325
55,Enoplosus armatus,Jervis Bay,50,18.3255,-0.013538092,-0.010850184,-0.00592701,-0.001174167,0.001103227
56,Enoplosus armatus,Jurien Bay,50,18.3255,-0.016669889,-0.011704704,-0.004137438,0.003927658,0.008329103
57,Enoplosus armatus,Port Phillip Bay,50,18.3255,-0.026675853,-0.02347477,-0.016985305,-0.010636743,-0.007288612
58,Epinephelides armatus,Jurien Bay,56,19.85475,-0.005142641,-0.002317777,0.003176993,0.008636785,0.01214179
59,Eubalichthys bucephalus,Jervis Bay,50,19.496,-0.012165353,-0.007693341,-0.000202728,0.006754218,0.011580145
60,Eupetrichthys angustipes,Jervis Bay,20,18.3827,-0.003743004,-0.000170976,0.005974374,0.011836577,0.015003327
61,Girella elevata,Jervis Bay,76,17.945825,-0.011413089,0.001623822,0.025280507,0.047039667,0.058373533
62,Girella tricuspidata,Jervis Bay,71,19.1885,-0.019618909,-0.014986102,-0.006063309,0.00261153,0.00767087
63,Girella zebra,Bass Strait,54,17.9465,-0.01190822,-0.009135677,-0.004711826,-0.000281839,0.002110497
64,Girella zebra,Port Phillip Bay,54,17.9465,-0.012436134,-0.010092402,-0.004570642,0.000914489,0.004024782
65,Halichoeres brownfieldi,Jurien Bay,15,19.95725,-0.019269003,-0.011349154,-0.001656784,0.008024735,0.014357837
66,Halichoeres nebulosus,Jervis Bay,12,24.2905,-0.065741624,-0.050562717,-0.016633216,0.018989371,0.034425417
67,Heteroscarus acroptilus,Jervis Bay,40,18.184275,-0.012355553,-0.007767762,-2.61E-05,0.007854619,0.011957832
68,Hypoplectrodes maccullochi,Jervis Bay,45,19.651,-0.021604911,-0.014949737,-0.005548876,0.003285007,0.008285696
69,Hyporhamphus australis,Jervis Bay,39.8,20.09245,-0.064246069,-0.050494332,-0.02517782,-0.000973067,0.012452705
70,Kyphosus cornelii,Jurien Bay,70,21.0582,-0.011181933,-0.007050518,-0.000723919,0.00543166,0.008940958
71,Kyphosus sydneyanus,Jervis Bay,86,19.5155,-0.021492578,-0.014512615,-0.004266414,0.005151608,0.010480723
72,Kyphosus sydneyanus,Jurien Bay,86,19.5155,-0.008359798,-0.003071665,0.005643433,0.014507727,0.020043493
73,Labracinus lineatus,Jurien Bay,25,24.050375,-0.01182097,-0.006350801,0.002954269,0.012045837,0.017871511
74,Latridopsis forsteri,Maria Island,65,16.3285,-0.010214348,-0.008371103,-0.00484901,-0.001635355,0.000200094
75,Latridopsis forsteri,Port Davey,65,16.3285,0.002083324,0.006964597,0.017676643,0.028630837,0.034620319
76,Latridopsis forsteri,Tinderbox,65,16.3285,-0.010053315,-0.007595238,-0.002884509,0.001712839,0.004623343
77,Mecaenichthys immaculatus,Jervis Bay,15,19.7235,-0.008147991,-0.005408468,-9.14E-05,0.005523527,0.008523749
78,Meuschenia australis,Maria Island,32,14.8145,-0.019260217,-0.015773292,-0.010849366,-0.005983111,-0.002796558
79,Meuschenia flavolineata,Jervis Bay,30,18.186,-0.007466638,-0.004631381,-6.75E-05,0.004738624,0.007131083
80,Meuschenia flavolineata,Port Phillip Bay,30,18.186,-0.009702015,-0.006837947,-0.001655406,0.003516024,0.006102481
81,Meuschenia freycineti,Jervis Bay,60,18.042,-0.039010888,-0.028257141,-0.01244173,0.004370604,0.012523002
82,Meuschenia freycineti,Port Phillip Bay,60,18.042,-0.021928769,-0.016143029,-0.005414227,0.005926615,0.011401906
83,Meuschenia hippocrepis,Port Phillip Bay,51,17.9585,-0.016896986,-0.011656232,-0.004220043,0.004413942,0.009938713
84,Meuschenia trachylepis,Jervis Bay,40,19.801,-0.030259619,-0.026206468,-0.01796449,-0.009070474,-0.002744515
85,Microcanthus strigatus,Jervis Bay,16,21.2425,-0.029765528,-0.019219163,-0.004862559,0.010064338,0.020451709
86,Neatypus obliquus,Jurien Bay,24,19.2215,-0.016307102,-0.012023656,-0.005041527,0.00181638,0.005724917
87,Neoodax balteatus,Maria Island,14,16.5373,-0.010903846,-0.00912597,-0.005639505,-0.001449236,0.00077311
88,Neoodax balteatus,Ninepin,14,16.5373,-0.011452758,-0.009576234,-0.005316387,-0.000668661,0.001755245
89,Neoodax balteatus,Port Phillip Bay,14,16.5373,-0.012744802,-0.006728175,0.006918375,0.020673201,0.027303045
90,Neoodax balteatus,Tinderbox,14,16.5373,-0.014219218,-0.012090246,-0.007818193,-0.003135262,-0.000593319
91,Notolabrus fucicola,Bass Strait,40,15.872,-0.007187614,-0.005054879,-0.00091293,0.002786925,0.00473495
92,Notolabrus fucicola,Bicheno,40,15.872,-0.01234415,-0.010452594,-0.006028682,-0.002060264,-0.000269402
93,Notolabrus fucicola,Maria Island,40,15.872,-0.009044211,-0.007212177,-0.00335314,-3.45E-05,0.00172879
94,Notolabrus fucicola,Ninepin,40,15.872,0.001824624,0.00435293,0.008864174,0.012963894,0.015164567
95,Notolabrus fucicola,Port Davey,40,15.872,-0.007882807,-0.005408759,-0.000610408,0.003338044,0.005544229
96,Notolabrus fucicola,Tinderbox,40,15.872,-0.008277035,-0.00633209,-0.001645465,0.002811608,0.004804083
97,Notolabrus gymnogenis,Jervis Bay,49,19.4165,-0.012733975,-0.009532466,-0.00304864,0.00293607,0.006687837
98,Notolabrus parilus,Jurien Bay,49,19.2865,-0.002362555,0.000576714,0.005420263,0.010431623,0.013454854
99,Notolabrus tetricus,Bass Strait,50,15.8595,-0.010690463,-0.009105347,-0.005303092,-0.002133173,-0.000430591
100,Notolabrus tetricus,Bicheno,50,15.8595,-0.009606074,-0.007125057,-0.002447517,0.002144293,0.004617447
101,Notolabrus tetricus,Maria Island,50,15.8595,-0.009900539,-0.008174479,-0.005544038,-0.002758966,-0.001279134
102,Notolabrus tetricus,Ninepin,50,15.8595,-0.007546966,-0.00571097,-0.002008717,0.001233552,0.003055287
103,Notolabrus tetricus,Port Davey,50,15.8595,-0.014834915,-0.011426364,-0.004953952,0.00211287,0.006108721
104,Notolabrus tetricus,Port Phillip Bay,50,15.8595,-0.016617083,-0.01454362,-0.010222865,-0.006374142,-0.004557043
105,Notolabrus tetricus,Tinderbox,50,15.8595,-0.017511655,-0.01586088,-0.012064676,-0.00842337,-0.006524725
106,Olisthops cyanomelas,Bass Strait,55,18.0405,-0.00976196,-0.007752459,-0.003649655,-2.66E-07,0.001648479
107,Olisthops cyanomelas,Bicheno,55,18.0405,-0.011897469,-0.009888638,-0.005854045,-0.001693633,0.000573015
108,Olisthops cyanomelas,Jervis Bay,55,18.0405,-0.007020842,-0.004570216,-0.000607558,0.00286596,0.005032032
