"","species","MaxObservLength","preferred_temp","b1_p025","b1_p10","b1_p50","b1_p90","b1_p975"
"1","Abudefduf bengalensis",20,25.71525,-0.0140008789301584,-0.00796558146012253,0.00270776499894121,0.0134342397081635,0.0188545527238416
"2","Abudefduf sexfasciatus",20,24.7035,-0.00422793947362747,0.0044603592850915,0.0197549946680955,0.0348805860729695,0.0437172678349207
"3","Abudefduf vaigiensis",20,25.157,-0.0253584724845948,-0.0179459802798901,-0.00259536016580642,0.0131720523330602,0.0211050977581701
"4","Abudefduf whitleyi",15,24.5775,-0.0543103471286891,-0.0341465156328856,-0.000905961739102068,0.028030845726271,0.04601651271883
"5","Acanthaluteres brownii",35,18.866,-0.0241864483894995,-0.00785985782943455,0.0213287042938178,0.0506356976361735,0.0669107858786493
"6","Acanthaluteres spilomelanurus",20,16.5555,-0.00350896825243132,0.0304609355541625,0.104228971810601,0.177327183727089,0.211100575703928
"7","Acanthaluteres vittiger",40,17.2935,-0.071842419607196,-0.0601480114959208,-0.0393868530844488,-0.0208874555140476,-0.0101956292222492
"8","Acanthochromis polyacanthus",15,27.213,-0.0363342604857005,-0.0199260976934969,0.0109666876079014,0.0432929223342388,0.0620044130863726
"9","Acanthopagrus australis",40,20.5335,-0.101349328026309,-0.0842320555863108,-0.054598867814016,-0.0235961700202996,-0.00992573810766804
"10","Acanthurus albipectoralis",35,23.8195,0.087757339658711,0.107528916029771,0.144063761685023,0.181432103481362,0.202298712097609
"11","Acanthurus blochii",40,27.2914,-0.0173766693067792,-0.00825473422082778,0.0119257558413993,0.0313647931018186,0.0423972103021805
"12","Acanthurus dussumieri",50,24.65625,0.0676454007624142,0.0844892835228528,0.111645346554457,0.138301376673689,0.152718206674869
"13","Acanthurus grammoptilus",40,27.0905,-0.0183362616810167,-0.00989122194912968,0.0047399158318997,0.0191243758601208,0.0271376354423213
"14","Acanthurus lineatus",40,27.6806,-0.0584674482279154,-0.0412137170908514,-0.00749967325592227,0.0251446029996443,0.0450223357571865
"15","Acanthurus nigricans",30,27.4412,-0.0586002717992116,-0.0429258433192533,-0.0195155411428825,0.00388891572479317,0.0159295630182048
"16","Acanthurus nigricauda",40,28.23,-0.136218593359263,-0.115467363662123,-0.0747025645294089,-0.0363455452862073,-0.0157510579358923
"17","Acanthurus nigrofuscus",30,25.9063,0.0119700669357482,0.0192558420561291,0.0329508258019723,0.0470059674365305,0.0547426953243243
"18","Acanthurus nigroris",15,26.84785,-0.0939123280652309,-0.072061765829942,-0.0318547995722038,0.00341116478062927,0.0261710100794443
"19","Acanthurus olivaceus",32.5,24.726,0.0621230823921584,0.0764720293218884,0.105784356095505,0.138290231225835,0.155605184568726
"20","Acanthurus pyroferus",25,27.8275,-0.0295297778131181,-0.0138251467836089,0.0175081138964956,0.0516343900987413,0.0696838375108496
"21","Acanthurus triostegus",25,26.8458,-0.029641194374735,-0.0167583988704799,0.00449597157459564,0.0259348518077104,0.0376448144455279
"22","Achoerodus gouldii",125,18.183,0.0372164325145319,0.0520924134083247,0.0817009158655213,0.108926570321946,0.123625041645871
"23","Achoerodus viridis",131.25,19.389,0.0259859022508644,0.0387531282799271,0.0660374275554059,0.0908560877322094,0.108465180299861
"24","Amblyglyphidodon curacao",12.5,27.7019,-0.139395271780219,-0.121786998354554,-0.0910118020504692,-0.061077396824353,-0.0433455128009963
"25","Amblyglyphidodon leucogaster",15,28.458,-0.10205026105542,-0.072737995637622,-0.0176661120653096,0.0359436532568799,0.0709657564970343
"26","Amblygobius phalaena",15,25.408,-0.0445210617704918,-0.0287275086233378,-0.00134121860574593,0.0255370503553068,0.0383443316883125
"27","Amphiprion akindynos",12.5,24.6155,-0.0371402674358083,-0.0170045840855416,0.0228063542979006,0.0673616252442147,0.0958234928496964
"28","Anampses elegans",25,21.5415,-0.245404583596064,-0.194004142403725,-0.0919950686217544,0.022343168843901,0.103627707461136
"29","Anampses geographicus",30,23.5525,-0.0351558890110756,-0.0279123463539827,-0.0135938614735454,0.00138558218053421,0.00945381057667105
"30","Anampses neoguinaicus",20,24.291,-0.00133420557705169,0.00619873287254587,0.0222679651306392,0.039045977306896,0.0469934758028253
"31","Aplodactylus arctidens",75,15.962,-0.0612429741368459,-0.051791096543606,-0.0343963354457555,-0.0181952258501248,-0.00734675189892356
"32","Aplodactylus lophodon",50,18.6945,-0.0615899982464298,-0.0557924081951476,-0.0465959487270481,-0.0374694717606902,-0.0325695541642214
"33","Apogon doederleini",12.5,23.679,-0.0817235424420001,-0.059210245847563,-0.0192529930107168,0.0233465626339288,0.0467644639821988
"34","Apogon limenus",20,21.0665,0.00536220412789332,0.0246189087621886,0.0600376981571853,0.103202675010646,0.123441651586496
"35","Apogon victoriae",15,20.6066,-0.0932512459718429,-0.070723518802518,-0.0304169024554186,0.00717518500469215,0.0274600240338177
"36","Aracana aurita",20,17.036,0.0117253559763962,0.0244866192895285,0.0520159070862504,0.0811179832673782,0.0931004678714474
"37","Arripis georgianus",30,18.8145,0.00542158810767407,0.0139611453568681,0.0361645141809388,0.0578147945963305,0.0719119345010348
"38","Arripis trutta",50,18.14795,-0.00433479955951565,0.0174526004957088,0.0602489245063777,0.0943824434724166,0.112156341044795
"39","Atypichthys strigatus",25,18.92,0.0353817908085629,0.0411299811007883,0.0535680952691556,0.0661411905668562,0.0717136164572666
"40","Austrolabrus maculatus",25,19.1905,-0.0504093598246204,-0.043601240876225,-0.0312016375131222,-0.0178782117782539,-0.0106043980986991
"41","Brachaluteres jacksonianus",11.25,18.3926,-0.0238411781475716,-0.00737767659869492,0.023338845777598,0.0552703489977305,0.0715605497810102
"42","Caesio caerulaurea",35,27.1899,-0.0362213777726641,-0.0144946944492175,0.0197718511768087,0.0549469121828543,0.0714536045518035
"43","Caesio cuning",37.5,27.1984,-0.0333431092084474,-0.0139220772797252,0.0257932478449772,0.0650342931239165,0.082981571737321
"44","Caesio teres",25,27.2965,-0.129919126147699,-0.101276201509273,-0.0498297919668808,0.00036342450335238,0.0272901310877419
"45","Caesioperca lepidoptera",30,16.30125,-0.160395448900313,-0.136223441823818,-0.0850974890492723,-0.0379994228540146,-0.0149163676560108
"46","Caesioperca rasor",30,15.6675,0.0138000894754114,0.0254886672715398,0.0446143306489992,0.0648598468262121,0.0756737418368999
"47","Caesioscorpis theagenes",10,20.0875,-0.184653570239495,-0.0959715197367148,0.0771955901799655,0.255180362928527,0.347769510774345
"48","Canthigaster valentini",15,25.556025,-0.0177353544394204,-0.0090044835511983,0.00902514431496998,0.0262339584630219,0.0352925060686097
"49","Caranx melampygus",75,27.52045,-0.00923304338372264,0.00183861320897141,0.0289317561777731,0.0544971944583578,0.0674185678260031
"50","Caranx sexfasciatus",50,26.3012,-0.0299101939205,-0.00810606709699512,0.0266915710857399,0.0633187275042996,0.0849425492580112
"51","Centropyge bicolor",15,28.28085,-0.0870516094067513,-0.0747601549151253,-0.0478404993214435,-0.0186962091758601,-0.00109098541623765
"52","Centropyge bispinosa",12.5,27.34395,-0.0186664007276694,-0.0100769948069916,0.00848308917763868,0.0251351850969044,0.0348916940303034
"53","Centropyge tibicen",15,25.718075,-0.0530396219395845,-0.0419519698601307,-0.021418064014555,-0.00162753609135205,0.00866081630049502
"54","Centropyge vrolikii",15,27.843925,-0.052305951813783,-0.0421800455438473,-0.0248648259741697,-0.00552703133884257,0.00457614169661067
"55","Chaetodon aureofasciatus",15,26.634,-0.00104615962390397,0.0102264008037488,0.0300372606332368,0.0499693535617549,0.0607820599913587
"56","Chaetodon auriga",20,25.4151,0.0210606593538154,0.0269603671680884,0.0372010528619452,0.0483761418502394,0.0552479914253817
"57","Chaetodon baronessa",17.5,28.663,-0.054687630636787,-0.0430618198405782,-0.0225422937011854,-0.00203384770467033,0.0111134610137636
"58","Chaetodon citrinellus",15,25.4785,-0.0300688870839498,-0.0252019905960536,-0.0152069781457027,-0.00456619273746727,0.00187297756772015
"59","Chaetodon flavirostris",20,23.7095,-0.0200504539523966,-0.00491735021508556,0.0252111298292977,0.0556669730789116,0.0704609850542025
"60","Chaetodon guentheri",20,21.1601,-0.0267489060083996,-0.000854707084140715,0.047967285440248,0.0971420118284576,0.120375076128877
"61","Chaetodon kleinii",15,26.277,0.00295413503983927,0.0127783063086188,0.0272008829488173,0.0430765911126697,0.0510037417483814
