Loc,date_dec,meansst
Port D,1981.6657534246576,11.8739997345954
Ninepi,1981.6657534246576,11.6243330735092
Tinder,1981.6657534246576,11.3579997461289
Maria ,1981.6657534246576,11.7029997384176
Bichen,1981.6657534246576,11.9526663995037
BassSt,1981.6657534246576,11.2049997495487
Port P,1981.6657534246576,12.1086663960169
Jervis,1981.6657534246576,17.2089996153489
Jurien,1981.6657534246576,19.3823329001044
Port D,1981.7479452054795,12.0709674721283
Ninepi,1981.7479452054795,11.6425803849293
Tinder,1981.7479452054795,11.5619352254416
Maria ,1981.7479452054795,11.9164513465498
Bichen,1981.7479452054795,12.2590319840538
BassSt,1981.7479452054795,12.6599997170269
Port P,1981.7479452054795,13.9254835597089
Jervis,1981.7479452054795,18.3012899135149
Jurien,1981.7479452054795,19.6093544004064
Port D,1981.8328767123287,12.6869997164235
Ninepi,1981.8328767123287,12.4683330546444
Tinder,1981.8328767123287,12.3503330572819
Maria ,1981.8328767123287,13.049333041658
Bichen,1981.8328767123287,13.5309996975586
BassSt,1981.8328767123287,14.1896663495029
Port P,1981.8328767123287,15.7563329811518
Jervis,1981.8328767123287,18.5109995862469
Jurien,1981.8328767123287,20.2199995480478
Port D,1981.9150684931508,14.6535480595644
Ninepi,1981.9150684931508,13.7787093694412
Tinder,1981.9150684931508,13.6422577595879
Maria ,1981.9150684931508,14.6319351568217
Bichen,1981.9150684931508,15.1974190151499
BassSt,1981.9150684931508,15.5783867485701
Port P,1981.9150684931508,17.325160903075
Jervis,1981.9150684931508,20.6219350229348
Jurien,1981.9150684931508,21.2377414607833
Port D,1982,15.1370964358531
Ninepi,1982,15.1590319192337
Tinder,1982,14.9345157952198
Maria ,1982,15.9393544824373
Bichen,1982,16.785160915145
BassSt,1982,17.3596770313358
Port P,1982,19.2703221499199
Jervis,1982,21.8680640273397
Jurien,1982,21.4167737148462
Port D,1982.0849315068492,15.4282139408668
Ninepi,1982.0849315068492,15.638213936173
Tinder,1982.0849315068492,15.5796425089107
Maria ,1982.0849315068492,17.146428188176
Bichen,1982.0849315068492,17.2492853287341
BassSt,1982.0849315068492,18.3385710186724
Port P,1982.0849315068492,19.2592852838071
Jervis,1982.0849315068492,22.165713790272
Jurien,1982.0849315068492,21.2628566675953
Port D,1982.1616438356164,15.750644809236
Ninepi,1982.1616438356164,15.2967738516388
Tinder,1982.1616438356164,15.1790319187867
Maria ,1982.1616438356164,16.5729028553732
Bichen,1982.1616438356164,16.4945157603511
BassSt,1982.1616438356164,18.1516124975056
Port P,1982.1616438356164,19.3393544064414
Jervis,1982.1616438356164,22.0603220875585
Jurien,1982.1616438356164,21.4261285533468
Port D,1982.2465753424658,14.9929996648803
Ninepi,1982.2465753424658,14.6819996718317
Tinder,1982.2465753424658,14.8523330013578
Maria ,1982.2465753424658,16.2659996364266
Bichen,1982.2465753424658,16.8376662903155
BassSt,1982.2465753424658,17.1806662826488
Port P,1982.2465753424658,18.3673329227914
Jervis,1982.2465753424658,20.7933328685661
Jurien,1982.2465753424658,21.4859995197505
Port D,1982.3287671232877,14.0445158151129
Ninepi,1982.3287671232877,13.6619351785029
Tinder,1982.3287671232877,13.4280642159884
Maria ,1982.3287671232877,14.2306448432106
Bichen,1982.3287671232877,14.9945157938787
BassSt,1982.3287671232877,15.0822577274014
