SpeciesName,Topt,T_Upper_Observations,T_Lower_Observations,T_Skew_Observations,T_Upper_0.1_SDM,T_Lower_0.1_SDM,T_Skew_SDM,confidence
Abudefduf bengalensis,25.48434606,28.8360383,21.61557491,-0.263815762,29.393,24.124,1.300157086,3
Abudefduf sexfasciatus,25.37922344,29.02750512,20.60613911,-0.5738789,29.355,24.821,1.743649555,3
Abudefduf troschelii,23.05299036,28.76597538,22.21377049,2.486614868,29.107,18.328,0.678071057,2
Abudefduf vaigiensis,28.893155,29.05189344,20.89683389,-3.998766671,29.432,24.618,-1.906280615,2
Abudefduf whitleyi,25.34622547,27.21147502,22.43307144,-0.534645137,27.085,22.768,-0.428291293,1
Acanthaluteres brownii,18.84751509,20.5961736,16.88017486,-0.111572306,23.74,17.119,1.614270317,2
Acanthaluteres spilomelanurus,13.81600101,20.74503266,13.53424317,3.391466224,24.273,13.732,5.292345903,2
Acanthaluteres vittiger,13.49538251,20.75500213,13.53476161,3.683796182,23.787,14.169,4.907142857,2
Acanthistius ocellatus,19.14438099,21.05730346,16.20212694,-0.525169168,24.257,13.889,-0.07283774,1
Acanthochromis polyacanthus,27.18885448,29.07389227,24.27169785,-0.526591246,29.722,25.181,0.268005633,1
Acanthopagrus australis,19.5028506,22.56548148,18.87336503,1.241400668,24.457,13.67,-0.44831694,3
Acanthurus achilles,28.49811443,28.52227008,25.10237363,-1.720196504,29.202,24.69,-1.583790238,3
Acanthurus albipectoralis,25.21696733,27.37418597,22.22941747,-0.423638381,29.006,22.168,0.377584355,2
Acanthurus auranticavus,30.01875513,29.99362004,24.15360459,-2.979599718,29.749,25.079,-2.382653061,2
Acanthurus blochii,28.90518398,28.68810587,24.42898837,-2.173019134,29.332,22.795,-2.89967753,3
Acanthurus dussumieri,25.60379794,27.77216855,21.64948679,-0.91119415,29.41,24.885,1.575206188,2
Acanthurus grammoptilus,28.98893297,28.71807907,24.44254037,-2.181397295,29.387,25.087,-1.787686703,3
Acanthurus leucopareius,22.61049956,28.52638509,22.25202186,2.835412153,29.226,24.243,2.542346939,1
Acanthurus lineatus,27.2517248,29.05547025,25.43394809,-0.007158809,29.607,25.171,0.140076735,2
Acanthurus nigricans,30.01875513,28.85655738,24.75949386,-2.090338528,29.59,24.943,-2.370918367,2
Acanthurus nigricauda,27.17264986,29.06414501,24.98000683,-0.153646875,29.407,25.643,0.359540963,3
Acanthurus nigrofuscus,25.85941962,28.80680396,21.66403099,-0.63673688,29.567,24.596,1.247020797,1
Acanthurus nigroris,27.58583402,28.53371888,24.32254372,-1.181329304,29.216,24.496,-0.744728587,2
Acanthurus olivaceus,29.00254446,28.80350751,23.49599863,-2.707912695,29.288,24.535,-2.133718836,3
Acanthurus pyroferus,30.01875513,29.97629138,25.25088456,-2.410921846,29.604,25.038,-2.329591837,2
Acanthurus thompsoni,30.00541724,29.97549384,24.74088388,-2.67071937,29.56,25.027,-2.312755102,2
Acanthurus triostegus,25.67213307,29.04150102,22.05365124,-0.12709892,29.373,24.349,1.213129519,2
Acanthurus xanthopterus,29.99912449,28.76607387,23.55587975,-2.658262308,29.71,26.432,-1.67244898,2
Achoerodus gouldii,19.41745519,20.67459723,16.87841667,-0.654028818,20.436,17.112,-0.656586928,1
Achoerodus viridis,18.60837814,22.56294981,17.09085791,1.243393596,24.286,13.836,0.461859042,3
Aipysurus laevis,28.32370945,28.8554235,24.38596374,-1.737771263,28.88,24.681,-1.574703525,2
Alphestes immaculatus,22.21377049,28.65759918,22.44547131,3.169452994,29.329,22.779,3.341836735,1
Amanses scopas,27.83449567,29.89099138,24.45424782,-0.675383751,29.711,25.478,-0.244893546,1
Amblyeleotris guttata,26.88259962,29.05666484,25.55524511,0.431995264,29.422,25.67,0.676939166,1
Amblyeleotris wheeleri,28.02798326,28.88246922,24.6595335,-1.282634595,29.425,25.542,-0.555595164,1
